Month,app_name,total_reviews
4,Subway®,1426
9,Subway®,954
6,Subway®,1010
5,Subway®,1176
7,Subway®,1193
12,Xbox,602
4,Xbox,444
3,Xbox,434
2,Xbox,427
1,Xbox,417
11,Xbox,968
10,Xbox,866
9,Xbox,237
5,Xbox,288
7,Xbox,269
8,Xbox,310
6,Xbox,217
4,Planet Fitness Workouts,650
3,Planet Fitness Workouts,984
2,Planet Fitness Workouts,1089
1,Planet Fitness Workouts,976
9,Planet Fitness Workouts,695
12,Planet Fitness Workouts,648
8,Planet Fitness Workouts,1092
5,Planet Fitness Workouts,611
7,Planet Fitness Workouts,585
11,Planet Fitness Workouts,665
10,Planet Fitness Workouts,601
6,Planet Fitness Workouts,611
12,Local News: Breaking & Latest,482
2,Local News: Breaking & Latest,387
11,Local News: Breaking & Latest,543
4,Local News: Breaking & Latest,371
3,Local News: Breaking & Latest,471
8,Local News: Breaking & Latest,166
10,Local News: Breaking & Latest,498
5,Local News: Breaking & Latest,214
7,Local News: Breaking & Latest,230
9,Local News: Breaking & Latest,306
6,Local News: Breaking & Latest,254
1,Local News: Breaking & Latest,398
1,YouTube TV: Live TV & more,1471
12,YouTube TV: Live TV & more,1551
10,YouTube TV: Live TV & more,1584
9,YouTube TV: Live TV & more,1465
4,YouTube TV: Live TV & more,1080
3,YouTube TV: Live TV & more,1574
2,YouTube TV: Live TV & more,1515
11,YouTube TV: Live TV & more,1596
5,YouTube TV: Live TV & more,758
7,YouTube TV: Live TV & more,851
6,YouTube TV: Live TV & more,761
8,YouTube TV: Live TV & more,792
0,YouTube TV: Live TV & more,1
3,Amazon Alexa,951
1,Amazon Alexa,935
11,Amazon Alexa,1091
12,Amazon Alexa,1220
8,Amazon Alexa,549
9,Amazon Alexa,506
4,Amazon Alexa,861
2,Amazon Alexa,789
10,Amazon Alexa,754
7,Amazon Alexa,535
5,Amazon Alexa,627
6,Amazon Alexa,562
2,Realtor.com Real Estate & Rent,1492
12,Realtor.com Real Estate & Rent,1247
11,Realtor.com Real Estate & Rent,1002
10,Realtor.com Real Estate & Rent,1233
3,Realtor.com Real Estate & Rent,1489
5,Realtor.com Real Estate & Rent,1128
8,Realtor.com Real Estate & Rent,1184
9,Realtor.com Real Estate & Rent,1142
7,Realtor.com Real Estate & Rent,1147
6,Realtor.com Real Estate & Rent,1111
1,Realtor.com Real Estate & Rent,1406
4,Realtor.com Real Estate & Rent,1304
2,"Linky AI: Chat, Play, Connect",632
12,"Linky AI: Chat, Play, Connect",835
1,"Linky AI: Chat, Play, Connect",697
11,"Linky AI: Chat, Play, Connect",974
10,"Linky AI: Chat, Play, Connect",674
9,"Linky AI: Chat, Play, Connect",849
7,"Linky AI: Chat, Play, Connect",992
6,"Linky AI: Chat, Play, Connect",1500
4,"Linky AI: Chat, Play, Connect",1433
3,"Linky AI: Chat, Play, Connect",1058
5,"Linky AI: Chat, Play, Connect",995
8,"Linky AI: Chat, Play, Connect",578
1,Google Voice,1369
4,Google Voice,1512
3,Google Voice,1382
2,Google Voice,1177
12,Google Voice,1371
11,Google Voice,1363
10,Google Voice,1237
7,Google Voice,1012
5,Google Voice,1241
8,Google Voice,997
9,Google Voice,1240
6,Google Voice,1096
10,Google Play Games,1531
1,Google Play Games,896
4,Google Play Games,982
11,Google Play Games,1859
12,Google Play Games,1305
2,Google Play Games,914
3,Google Play Games,910
9,Google Play Games,646
8,Google Play Games,694
6,Google Play Games,703
5,Google Play Games,669
7,Google Play Games,770
3,Bluesky,526
2,Bluesky,710
4,Bluesky,548
1,Bluesky,1356
9,Bluesky,307
12,Bluesky,1044
11,Bluesky,2617
10,Bluesky,606
8,Bluesky,173
