game_id,game_name,downloads,Highest_rating
11,Number Match - Number Game,50000,5.0
59,Woodoku Blast,1000000,4.9
97,Find The Cat - Spot It!,10000000,4.9
300,Word Chain,500000,4.9
135,Cubes Empire Champions,10000000,4.9
12,Hexa Run: Hexa Puzzle Game,100000,4.9
254,Words of Wonders: Crossword,100000000,4.9
226,Simon's Cat Match!,100000,4.9
308,Vita Mahjong,50000000,4.9
192,Monument Valley 2,1000000,4.9
